,Kanji,Furigana,Meaning
386,武,たけ たけ.し,Warrior | Military | Chivalry | Arms
387,声,こえ こわ-,Voice
388,質,たち ただ.す もと わりふ,Substance | Quality | Matter | Temperament
389,念,,Wish | Sense | Idea | Thought | Feeling | Desire | Attention
390,待,ま.つ -ま.ち,Wait | Depend On
391,試,こころ.みる ため.す,Test | Try | Attempt | Experiment | Ordeal
392,族,,Tribe | Family
393,象,かたど.る,Elephant | Pattern After | Imitate | Image | Shape | Sign (of The Times)
394,銀,しろがね,Silver
395,域,,Range | Region | Limits | Stage | Level
396,助,たす.ける たす.かる す.ける すけ,Help | Rescue | Assist
397,労,ろう.する いたわ.る いた.ずき ねぎら つか.れる ねぎら.う,Labor | Thank For | Reward For | Toil | Trouble
398,例,たと.える,Example | Custom | Usage | Precedent
399,衛,,Defense | Protection
400,然,しか しか.り しか.し さ,Sort Of Thing | So | If So | In That Case | Well
401,早,はや.い はや はや- はや.まる はや.める さ-,Early | Fast
402,張,は.る -は.り -ば.り,Lengthen | Counter For Bows & Stringed Instruments | Stretch | Spread | Put Up (tent)
403,映,うつ.る うつ.す は.える -ば.え,Reflect | Reflection | Projection
404,限,かぎ.る かぎ.り -かぎ.り,Limit | Restrict | To Best Of Ability
405,親,おや おや- した.しい した.しむ,Parent | Intimacy | Relative | Familiarity | Dealer (cards)
406,額,ひたい,Forehead | Tablet | Plaque | Framed Picture | Sum | Amount | Volume
407,監,,Oversee | Official | Govt Office | Rule | Administer
408,環,わ,Ring | Circle | Link | Wheel
409,験,あかし しるし ため.す ためし,Verification | Effect | Testing
410,追,お.う,Chase | Drive Away | Follow | Pursue | Meanwhile
411,審,つまび.らか つぶさ.に,Hearing | Judge | Trial
412,商,あきな.う,Make A Deal | Selling | Dealing In | Merchant
413,葉,は,Leaf | Plane | Lobe | Needle | Blade | Spear | Counter For Flat Things | Fragment | Piece
414,義,,Righteousness | Justice | Morality | Honor | Loyalty | Meaning
